Tiempo (ms),Voltaje (mV)
368.6,-59.06313790462939
368.70000000000005,-58.953768283675714
368.8,-58.8433049665125
368.9,-58.731737016177654
369.0,-58.61905338633946
369.1,-58.505242920202875
369.20000000000005,-58.39029434940494
369.3,-58.27419629289901
369.4,-58.15693725582803
369.5,-58.038505628386346
369.6,-57.91888968467024
369.70000000000005,-57.79807758151697
369.8,-57.67605735733216
369.9,-57.552816930905514
370.0,-57.4283441002146
370.1,-57.302626541216775
370.20000000000005,-57.17565180662897
370.3,-57.04740732469529
370.4,-56.91788039794227
370.5,-56.787058201921724
370.6,-56.65492778394097
370.70000000000005,-56.521476061780405
370.8,-56.38668982239824
370.9,-56.25055572062226
371.0,-56.11306027782851
371.1,-55.97418988060682
371.20000000000005,-55.83393077941292
371.3,-55.69226908720707
371.4,-55.54919077807917
371.5,-55.40468168586
371.6,-55.25872750271862
371.70000000000005,-55.11131377774584
371.8,-54.962425915523326
371.9,-54.812049174678585
372.0,-54.6601686664254
372.1,-54.50676935308969
372.20000000000005,-54.35183604662061
372.3,-54.19535340708684
372.4,-54.03730594115774
372.5,-53.87767800056935
372.6,-53.716453780575065
372.70000000000005,-53.553617318380844
372.8,-53.38915249156469
372.9,-53.22304301648036
373.0,-53.05527244664519
373.1,-52.88582417111167
373.20000000000005,-52.71468141282281
373.3,-52.54182722695107
373.4,-52.36724449922062
373.5,-52.19091594421285
373.6,-52.01282410365501
373.70000000000005,-51.83295134469158
373.8,-51.65127985813852
373.9,-51.46779165671994
374.0,-51.28246857328716
374.1,-51.09529225902006
374.20000000000005,-50.90624418161029
374.3,-50.715305623426424
374.4,-50.52245767966072
374.5,-50.32768125645735
374.6,-50.13095706902196
374.70000000000005,-60.0
374.8,-59.89999900000002
374.9,-59.79899799000005
375.0,-59.69698696990008
375.1,-59.59395583959912
375.20000000000005,-59.48989439799514
375.3,-59.38479234197512
375.4,-59.2786392653949
375.5,-59.17142465804888
375.6,-59.06313790462939
375.70000000000005,-58.953768283675714
375.8,-58.8433049665125
375.9,-58.731737016177654
376.0,-58.61905338633946
376.1,-58.505242920202875
376.20000000000005,-58.39029434940494
376.3,-58.27419629289901
376.4,-58.15693725582803
376.5,-58.038505628386346
376.59999999999997,-57.91888968467024
376.70000000000005,-57.79807758151697
376.8,-57.67605735733216
376.9,-57.552816930905514
377.0,-57.4283441002146
377.09999999999997,-57.302626541216775
377.20000000000005,-57.17565180662897
377.3,-57.04740732469529
377.4,-56.91788039794227
377.5,-56.787058201921724
377.59999999999997,-56.65492778394097
377.70000000000005,-56.521476061780405
